category,content
life,今天天气真好，适合出门走走感受阳光
life,你今天真好看，保持这份好心情呀
life,喝一杯喜欢的奶茶，犒劳一下努力的自己
life,路边的小花都开了，今天也会有好事发生
life,回家路上记得买份爱吃的小零食
life,开窗通通风，新鲜空气会带来好心情
life,做一顿自己爱吃的饭，享受属于你的时光
life,今天微风不燥，适合出门散散步
life,晒晒太阳，整个人都会变得暖暖的
life,听听喜欢的歌，烦恼都会被赶跑
work,今天工作效率超高，提前完成了任务
work,同事帮了你一个小忙，团队氛围超棒
work,想到了一个超棒的idea，今天会有收获
work,困扰很久的问题今天终于解决了
work,领导表扬了你的工作，付出都被看见
work,今天不用加班，可以早早回家休息
work,和同事配合超默契，工作进展很顺利
work,学到了一个新技能，今天又进步了
work,会议开得很高效，不用浪费时间
work,客户对你的方案很满意，顺利通过
heal,没关系呀，你已经做得很好了
heal,慢慢来，不用着急，你想要的都会来
heal,今天不开心也没关系，明天会更好的
heal,你超棒的，不要否定自己呀
heal,累了就歇歇，不用硬撑着
heal,你值得所有美好的事物
heal,过去的都过去了，未来都是好日子
heal,好好爱自己，比什么都重要
heal,每个人都有闪光点，你也一样
heal,不用和别人比，你已经很优秀了
bless,祝你今天一天都顺顺利利，没有烦恼
bless,希望你今天所有的期待都能实现
bless,愿你每天都有好心情，事事顺心
bless,祝你今天遇到的都是好人好事
bless,愿你的努力都有回报，梦想都能实现
bless,祝你今天吃好喝好，快乐不倒
bless,希望你今天所有的付出都有收获
bless,愿你被世界温柔以待，好运常伴
bless,祝你今天元气满满，活力十足
bless,希望你今天收获很多小惊喜
